stop_id,stop_code,stop_name,stop_lat,stop_lon
"06441001622","06441001622","122 y 90",-34.930567,-57.895412
"6441124988","6441124988","CALLE 10_CALLE 65",-34.927840,-57.939087
"06441002009","06441002009","Pza. España",-34.925130,-57.936022
"06441001633","06441001633","122 y 78",-34.922055,-57.907145
"6441130201","6441130201","DIAGONAL 73_CALLE 59",-34.921023,-57.943400
"6441122396","6441122396","DIAGONAL 73_CALLE 71",-34.919833,-57.918117
"6441128041","6441128041","AVENIDA 7_CALLE 47",-34.912670,-57.952523
"6441110443","6441110443","DIAGONAL 80_CALLE 47",-34.910722,-57.948815
"06441010362","06441010362","Av. 122 y 64",-34.910717,-57.922165
"6441103821","6441103821","AVENIDA 1_AVENIDA 51",-34.910122,-57.942368
"6441130198","6441130198","AVENIDA 122_CALLE 62",-34.908747,-57.924860
"6441128734","6441128734","AVENIDA 32_CALLE 10",-34.903278,-57.971872
"6441124341","6441124341","AVENIDA 13_CALLE 528",-34.902750,-57.980285
"6441112691","6441112691","AVENIDA 7_CALLE 34",-34.902097,-57.966962
"6441112655","6441112655","CALLE 12_CALLE 518",-34.893218,-57.990123
"6441109611","6441109611","AVENIDA 38_CALLE 121",-34.892883,-57.948255
"6441124831","6441124831","CALLE 4_CALLE 524",-34.890760,-57.975210
"06098005402","06098005402","9 y 155",-34.879987,-57.894642
"628110236","628110236","MIGUEL CANE 1-99",-34.879903,-58.350940
"628110285","628110285","GRAL. BRIG. MANUEL CALDERÓN 99",-34.878840,-58.349073
"6441129596","6441129596","CALLE 497_CALLE 12",-34.877373,-58.013300
"6245116110","6245116110","OLEGARIO ANDRADE_J. V. GONZÁLEZ",-34.874473,-57.912508
"6441112659","6441112659","CALLE 489_CALLE 14",-34.873313,-58.028550
"06270000023","06270000023","Estación Unión Ferroviaria",-34.870422,-58.543250
"6274117510","6274117510","CALLE 1155 2345",-34.868540,-58.188907
"6274115025","6274115025","CALLE 1149 1751-1799",-34.868242,-58.196535
"06098005200","06098005200","Anses",-34.864782,-57.891917
"6274115033","6274115033","CALLE 1282 571",-34.864555,-58.188357
"6270107249","6270107249","CONQUISTA DE DESIERTO 914-934",-34.858517,-58.528015
"06245002030","06245002030","San Martín y Ecuador",-34.856875,-57.910785
"6245118846","6245118846","L. CONTARELLI_25 DE MAYO",-34.856300,-57.919502
"628110269","628110269","PRES. SARMIENTO 510",-34.854020,-58.382455
"6270102937","6270102937","LUCIO SALVADORES 550-598",-34.847710,-58.512330
"6427112277","6427112277","AVENIDA MONTECARLO 657-699",-34.842893,-58.644627
"6260107191","6260107191","EL DESVIO 3642",-34.836100,-58.499287
"6260132505","6260132505","LEANDRO N. ALEM 2100-2198",-34.835740,-58.453365
